"ID";"Beteckning";"Fotavtryck";"Kvantitet";"Beteckning";"Leverantör och ref";
1;"C14,C12,C4,C11,C2,C1";"C_0805_2012Metric";6;"10µF";;;
2;"C15,C13,C5,C9,C18";"C_0603_1608Metric";5;"1µF";;;
3;"D7";"D_SOD-323";1;"18V";;;
4;"D3,D1,D5,D4,D6";"D_SOD-323";5;"D";;;
5;"R9,R8,R7,R10,R11,R3";"R_0603_1608Metric";6;"100k";;;
6;"L5,L4,L3";"L_APV_ANR5040";3;"10µH";;;
7;"J4,J1";"PinHeader_1x01_P2.54mm_Vertical";2;"Conn_01x01";;;
8;"C3,C10";"C_1206_3216Metric";2;"100µF";;;
9;"R4,R6";"R_0603_1608Metric";2;"2K";;;
10;"Q1";"SOT-23";1;"BSS84";;;
11;"R5";"R_0603_1608Metric";1;"100K";;;
12;"J2";"PinHeader_1x04_P2.54mm_Vertical";1;"Conn_01x04";;;
13;"RV1";"R_0603_1608Metric";1;"Varistor";;;
14;"D2";"LED_D3.0mm";1;"LED_CHR";;;
15;"R12";"R_0603_1608Metric";1;"6,8k";;;
16;"C16";"C_0805_2012Metric";1;"10uF";;;
17;"R14";"R_0603_1608Metric";1;"TBD";;;
18;"U3,U2";"SOT-23-5";2;"LGS6302B5";;;
19;"R1";"R_0603_1608Metric";1;"33k";;;
20;"R13";"R_0603_1608Metric";1;"15k";;;
21;"U4";"SOT-23-5";1;"MCP73831";;;
22;"J3";"JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal";1;"Conn_01x02";;;
